Date,Open,High,Low,Close,Volume
12/03/2019,"1.51","1.55","1.48","1.53","8,864,792"
12/02/2019,"1.59","1.62","1.52","1.54","8,242,504"
11/29/2019,"1.58","1.60","1.56","1.59","5,475,932"
11/27/2019,"1.53","1.60","1.51","1.59","12,124,616"
11/26/2019,"1.51","1.57","1.50","1.53","10,602,756"
11/25/2019,"1.42","1.52","1.41","1.51","10,979,552"
11/22/2019,"1.40","1.46","1.38","1.42","13,976,200"
11/21/2019,"1.37","1.40","1.34","1.38","11,136,084"
11/20/2019,"1.39","1.39","1.34","1.37","10,666,788"
11/19/2019,"1.39","1.42","1.36","1.38","13,442,192"
11/18/2019,"1.46","1.46","1.40","1.41","11,983,576"
11/15/2019,"1.50","1.50","1.46","1.47","8,664,204"
11/14/2019,"1.49","1.53","1.48","1.50","6,834,940"
11/13/2019,"1.48","1.49","1.45","1.49","6,135,676"
11/12/2019,"1.51","1.52","1.47","1.48","7,337,940"
11/11/2019,"1.51","1.52","1.44","1.51","12,437,828"
11/08/2019,"1.54","1.57","1.51","1.52","7,874,880"
11/07/2019,"1.55","1.58","1.51","1.56","12,517,132"
11/06/2019,"1.48","1.55","1.46","1.52","16,513,168"
11/05/2019,"1.47","1.55","1.47","1.48","13,496,484"
11/04/2019,"1.48","1.51","1.44","1.46","14,680,196"
11/01/2019,"1.36","1.50","1.36","1.46","20,841,420"
10/31/2019,"1.41","1.42","1.33","1.36","17,434,288"
10/30/2019,"1.44","1.46","1.38","1.43","14,958,172"
10/29/2019,"1.55","1.56","1.45","1.45","15,675,112"
10/28/2019,"1.60","1.62","1.54","1.55","11,418,976"
10/25/2019,"1.58","1.61","1.56","1.59","10,581,660"
10/24/2019,"1.63","1.64","1.51","1.61","17,109,496"
10/23/2019,"1.58","1.66","1.56","1.61","16,292,568"
10/22/2019,"1.48","1.61","1.48","1.60","16,707,328"
10/21/2019,"1.50","1.54","1.46","1.48","14,447,612"
10/18/2019,"1.51","1.51","1.44","1.49","12,788,432"
10/17/2019,"1.47","1.51","1.45","1.51","14,564,452"
10/16/2019,"1.40","1.48","1.40","1.47","15,539,152"
10/15/2019,"1.40","1.48","1.40","1.40","25,404,476"
10/14/2019,"1.33","1.40","1.31","1.40","21,625,244"
10/11/2019,"1.29","1.37","1.29","1.34","23,643,352"
10/10/2019,"1.26","1.29","1.24","1.26","21,036,908"
10/09/2019,"1.31","1.33","1.24","1.25","23,462,368"
10/08/2019,"1.36","1.36","1.29","1.31","19,293,640"
10/07/2019,"1.37","1.40","1.35","1.37","17,757,904"
